block_group_geoid,population,lat,lon
420030511001,54,40.440934,-79.976994
420030511001,52,40.442542,-79.978781
420030511001,45,40.441933,-79.977746
420030511001,43,40.442970,-79.977875
420030511001,42,40.442046,-79.975135
420030511001,40,40.443819,-79.975897
420030511001,40,40.443349,-79.977007
420030511001,36,40.442098,-79.977187
420030511001,28,40.440042,-79.978033
420030603001,80,40.464325,-79.958810
420030603001,70,40.463218,-79.958492
420030603001,66,40.463568,-79.958591
420030603001,60,40.463240,-79.963159
420030603001,55,40.463921,-79.958686
420030603001,55,40.462036,-79.965232
420030603001,52,40.462839,-79.958390
420030603001,49,40.464779,-79.958933
420030603001,49,40.461968,-79.958063
420030603001,46,40.462506,-79.963053
420030603001,42,40.464277,-79.961935
420030603001,42,40.464028,-79.960568
420030603001,41,40.463621,-79.960457
420030603001,39,40.463847,-79.961635
420030603001,33,40.461555,-79.962969
420030603001,32,40.463818,-79.962968
420030603001,27,40.462890,-79.960491
420030603001,25,40.463412,-79.961693
420030603001,24,40.462510,-79.960384
420030603001,20,40.463760,-79.962131
420030603001,20,40.463270,-79.960378
420030603001,19,40.464486,-79.960698
420030603001,16,40.461755,-79.959939
420030603001,14,40.463188,-79.960875
420030603001,12,40.463356,-79.959860
420030603001,12,40.462628,-79.959658
420030603001,7,40.463009,-79.959763
420030603001,5,40.460614,-79.964041
420030603002,250,40.468699,-79.965391
420030603002,118,40.462996,-79.964889
420030603002,113,40.465676,-79.962112
420030603002,102,40.464754,-79.964679
420030603002,98,40.463402,-79.966993
420030603002,59,40.467832,-79.965159
420030603002,53,40.464275,-79.964641
420030603002,49,40.463342,-79.965713
420030603002,47,40.464939,-79.966469
420030603002,45,40.464767,-79.966029
420030603002,44,40.468118,-79.964808
420030603002,44,40.465900,-79.965228
420030603002,42,40.466249,-79.966072
420030603002,41,40.466888,-79.963584
420030603002,41,40.465472,-79.964373
420030603002,41,40.464479,-79.963486
