stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
067de531-3f93-43f8-9ed9-5eab588b084c,4108,CHARTIERS AVE + AZALIA FS,40.44471,-80.041492,0
067f3dba-e42f-470c-bc62-ae4d3acc5327,2359,4TH AVE + CORAOPLIS BRIDGE FS,40.514756,-80.153921,0
06961660-1798-4286-9914-8aed0e42c4b9,12647,FREEPORT RD + MURRAY HILL,40.581448,-79.778872,0
06a07258-8ed9-4729-8288-d6e0058b9456,18156,MURRAY AVE + BEACON,40.434911,-79.922897,0
06afd2d9-ded3-4140-8b8d-acb401089e54,234,MCKNIGHT RD + MCKNIGHT-IVORY BLDG,40.501455,-80.01133,0
06b02cf9-e3f4-498c-857a-1840764ce0f7,14747,SALTSBURG RD + REITER RD,40.476465,-79.780434,0
06bcf616-a62d-4eb2-9242-88e5fb949c30,10010451,S Negley Ave + Centre Ave (FS),40.458874487,-79.929103263,0
06ce264f-7d39-4be1-a4a7-47094506a22d,1468,BEAVER RD + CHURCH,40.556247,-80.196793,0
06d6cd6f-8f1b-43c2-9b8f-bba80c6fea61,18817,FOX CHAPEL RD + MARGERY N,40.492092,-79.881397,0
06e9538b-9fa3-4c98-b66b-fa77254eabb8,14394,FRANKSTOWN RD + BARTHOLOMEW CHURCH DR,40.464932,-79.839371,0
071dffe2-1070-4dc7-bd42-ac40a9fab02d,7762,PATTON ST BRIDGE + MIDDLE,40.395325,-79.804666,0
073595bb-089a-4783-8e65-5ea8bd11554d,6675,VIRGINIA AVE + MAPLE TERRACE,40.430652,-80.009673,0
07428edc-7ca6-4281-b00a-98fbaabf64ed,9559,PROSPECT RD + ABBOTT,40.36407,-79.973373,0
07451cc2-74fd-4197-85dc-4530f59efc6e,19472,BRADDOCK AVE + ELECTRIC,40.400717388,-79.83344448,0
0745af67-8a61-4aca-9e6e-fde9df59fc07,1052,THOMPSON RUN RD + ABARD,40.531605,-79.990242,0
0748d88d-47e7-404e-9b96-51fac96eb10a,1950,CALIFORNIA AVE + RANKIN AVE,40.47617,-80.0398,0
075c5b7d-c273-4605-ba74-dc5432fb6bf7,19645,BOWER HILL RD + PAINTERS RUN FS,40.364228,-80.086916,0
